2019/08/29	-188

2019/08/28	53

2019/08/27	113

2019/08/26	82

2019/08/23	-95

2019/08/22	-113

2019/08/21	-218

2019/08/20	152

2019/08/19	-72

2019/08/16	74

2019/08/15	-88

2019/08/14	-164

2019/08/13	-48

2019/08/12	50

2019/08/08	-200

2019/08/07	-158

2019/08/06	119

2019/08/05	96

2019/08/02	-215

2019/08/01	0

2019/07/31	-3

2019/07/30	54

2019/07/29	-35

2019/07/26	-9

2019/07/25	145

2019/07/24	-131

2019/07/23	18

2019/07/22	-29

2019/07/19	60

2019/07/18	-11

